FechaHoraDifusion;CodigoOACI;Tipo;EsAuto;EsCorregido;EsNil;FechaHoraNominal;DireccionViento;IntensidadViento;RachaViento;Visibilidad;AlcanceVisualEnPista;TiempoSignificativo;Nubosidad;Temperatura;PuntoRocio;Presion;Precipitacion;Trend;InformacionReciente
2023-01-01T00:04;GCFV;METAR;true;false;false;2023-01-01T00:00;290.0;4.0;null;-1.0;null;null;null;18.0;13.0;1023.0;null;null;null
2023-01-01T00:04;LEMG;METAR;false;false;false;2023-01-01T00:00;310.0;4.0;null;-1.0;null;null;null;9.0;5.0;1026.0;null;NOSIG;null
2023-01-01T00:04;LERS;METAR;true;false;false;2023-01-01T00:00;30.0;5.0;null;-1.0;null;null;null;7.0;6.0;1026.0;null;null;null
2023-01-01T00:04;LEPP;METAR;true;false;false;2023-01-01T00:00;170.0;14.0;null;-1.0;null;null;null;14.0;-2.0;1023.0;null;null;null
2023-01-01T00:04;GCRR;METAR;false;false;false;2023-01-01T00:00;30.0;6.0;null;-1.0;null;null;null;19.0;13.0;1023.0;null;null;null
2023-01-01T00:04;LESO;METAR;true;false;false;2023-01-01T00:00;160.0;15.0;null;-1.0;null;null;null;19.0;3.0;1020.0;null;null;null
2023-01-01T00:04;LEMD;METAR;false;false;false;2023-01-01T00:00;340.0;3.0;null;-1.0;null;null;null;4.0;2.0;1027.0;null;NOSIG;null
2023-01-01T00:04;LEAM;METAR;true;false;false;2023-01-01T00:00;360.0;9.0;null;-1.0;null;null;null;13.0;4.0;1026.0;null;null;null
2023-01-01T00:04;LEGR;METAR;true;false;false;2023-01-01T00:00;0.0;0.0;null;-1.0;null;null;null;2.0;1.0;1028.0;null;null;null
2023-01-01T00:04;GCTS;METAR;false;false;false;2023-01-01T00:00;10.0;5.0;null;9999.0;null;null;FEW015;17.0;15.0;1023.0;null;NOSIG;null
2023-01-01T00:04;LEVT;METAR;false;false;false;2023-01-01T00:00;0.0;0.0;null;9999.0;null;null;BKN048;13.0;1.0;1021.0;null;null;null
2023-01-01T00:04;LEIB;METAR;true;false;false;2023-01-01T00:00;0.0;0.0;null;9999.0;null;null;null;10.0;9.0;1027.0;null;null;null
2023-01-01T00:04;LEXJ;METAR;true;false;false;2023-01-01T00:00;240.0;15.0;25;-1.0;null;null;null;18.0;4.0;1018.0;null;null;null
2023-01-01T00:04;LECH;METAR;true;false;false;2023-01-01T00:00;0.0;0.0;null;9000.0;null;null;null;7.0;6.0;1026.0;null;null;null
2023-01-01T00:04;GCXO;METAR;true;false;false;2023-01-01T00:00;150.0;4.0;null;7000.0;null;null;SCT001;14.0;14.0;1024.0;null;null;null
2023-01-01T00:04;LEAG;METAR;true;false;false;2023-01-01T00:00;340.0;3.0;null;-1.0;null;null;null;12.0;6.0;1026.0;null;null;null
2023-01-01T00:04;LEJR;METAR;true;false;false;2023-01-01T00:00;70.0;2.0;null;-1.0;null;null;null;10.0;5.0;1025.0;null;null;null
2023-01-01T00:04;LEAL;METAR;false;false;false;2023-01-01T00:00;290.0;3.0;null;-1.0;null;null;null;8.0;5.0;1026.0;null;NOSIG;null
2023-01-01T00:04;LELN;METAR;true;false;false;2023-01-01T00:00;210.0;6.0;null;9999.0;null;null;OVC021;8.0;6.0;1021.0;null;null;null
2023-01-01T00:04;LEAS;METAR;true;false;false;2023-01-01T00:00;230.0;4.0;null;9999.0;null;null;FEW065 BKN078;14.0;10.0;1017.0;null;null;null
2023-01-01T00:04;LEGE;METAR;false;false;false;2023-01-01T00:00;250.0;4.0;null;-1.0;null;null;null;7.0;5.0;1025.0;null;null;null
2023-01-01T00:04;LEPA;METAR;false;false;false;2023-01-01T00:00;0.0;0.0;null;500.0;null;null;BKN001;10.0;10.0;1028.0;null;NOSIG;null
2023-01-01T00:04;LECO;METAR;false;false;false;2023-01-01T00:00;180.0;13.0;null;9999.0;null;null;FEW035;13.0;10.0;1015.0;null;NOSIG;null
2023-01-01T00:04;LEBL;METAR;false;false;false;2023-01-01T00:00;300.0;6.0;null;-1.0;null;null;null;10.0;8.0;1026.0;null;NOSIG;null
2023-01-01T00:04;LETL;METAR;true;false;false;2023-01-01T00:00;140.0;6.0;null;-1.0;null;null;null;5.0;-7.0;1028.0;null;null;null
2023-01-01T00:04;GCHI;METAR;true;false;false;2023-01-01T00:00;220.0;8.0;null;-1.0;null;null;null;20.0;16.0;1022.0;null;null;null
2023-01-01T00:04;LEBG;METAR;true;false;false;2023-01-01T00:00;180.0;18.0;null;9999.0;null;null;BKN057;12.0;-0.0;1022.0;null;null;null
2023-01-01T00:04;LEDA;METAR;true;false;false;2023-01-01T00:00;40.0;4.0;null;-1.0;null;null;null;7.0;5.0;1026.0;null;null;null
2023-01-01T00:04;LEMH;METAR;true;false;false;2023-01-01T00:00;210.0;7.0;null;-1.0;null;null;null;14.0;14.0;1028.0;null;null;null
2023-01-01T00:04;LEVC;METAR;false;false;false;2023-01-01T00:00;280.0;3.0;null;-1.0;null;null;null;8.0;1.0;1026.0;null;NOSIG;null
2023-01-01T00:04;GCLA;METAR;true;false;false;2023-01-01T00:00;200.0;8.0;null;9999.0;null;null;BKN015 BKN031;20.0;18.0;1022.0;null;null;null
2023-01-01T00:04;LEBB;METAR;true;false;false;2023-01-01T00:00;250.0;6.0;null;9999.0;null;null;SCT070;18.0;4.0;1019.0;null;null;null
2023-01-01T00:04;LEMI;METAR;true;false;false;2023-01-01T00:00;340.0;5.0;null;-1.0;null;null;null;10.0;6.0;1027.0;null;null;null
2023-01-01T00:04;GCGM;METAR;true;false;false;2023-01-01T00:00;110.0;3.0;null;9999.0;null;null;BKN010 BKN017 OVC024;19.0;17.0;1023.0;null;null;null
2023-01-01T00:04;LEVD;METAR;true;false;false;2023-01-01T00:00;190.0;11.0;null;9999.0;null;null;BKN031;9.0;2.0;1022.0;null;null;null
2023-01-01T00:04;GCLP;METAR;false;false;false;2023-01-01T00:00;210.0;4.0;null;-1.0;null;null;null;17.0;15.0;1023.0;null;NOSIG;null
2023-01-01T00:04;LEST;METAR;false;true;false;2023-01-01T00:00;170.0;10.0;null;6000.0;null;null;SCT015 BKN025 BKN005;9.0;9.0;1017.0;RA RA;TEMPO;null
2023-01-01T00:04;LEZL;METAR;false;false;false;2023-01-01T00:00;0.0;0.0;null;-1.0;null;null;null;10.0;9.0;1025.0;null;NOSIG;null
2023-01-01T00:04;LELC;METAR;true;false;false;2023-01-01T00:00;300.0;3.0;null;8000.0;null;null;null;8.0;7.0;1027.0;null;null;null
2023-01-01T00:04;LEZG;METAR;false;false;false;2023-01-01T00:00;110.0;5.0;null;-1.0;null;null;null;8.0;6.0;1025.0;null;null;null
2023-01-01T00:04;LESA;METAR;true;false;false;2023-01-01T00:00;190.0;12.0;null;-1.0;null;null;null;11.0;4.0;1023.0;null;null;null
2023-01-01T00:04;LEVX;METAR;false;false;false;2023-01-01T00:00;170.0;6.0;null;7000.0;null;null;BKN043 BKN053;10.0;9.0;1018.0;RA;NOSIG;null
2023-01-01T00:04;GEML;METAR;true;false;false;2023-01-01T00:00;280.0;4.0;null;-1.0;null;null;null;11.0;4.0;1026.0;null;null;null
2023-01-01T00:05;LETO;METAR;false;false;false;2023-01-01T00:00;40.0;9.0;null;-1.0;null;null;null;4.0;2.0;1027.0;null;NOSIG;null
2023-01-01T00:05;LELL;METAR;true;false;false;2023-01-01T00:00;290.0;3.0;null;-1.0;null;null;null;7.0;5.0;1026.0;null;null;null
2023-01-01T00:05;LEAO;METAR;false;false;true;2023-01-01T00:00;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:05;LEVS;METAR;true;false;false;2023-01-01T00:00;20.0;3.0;null;9999.0;null;null;BKN055;7.0;3.0;1026.0;null;null;null
2023-01-01T00:05;LEAB;METAR;false;false;false;2023-01-01T00:00;150.0;6.0;null;-1.0;null;null;null;2.0;1.0;1028.0;null;NOSIG;null
2023-01-01T00:05;LEBA;METAR;true;false;false;2023-01-01T00:00;100.0;4.0;null;-1.0;null;null;null;7.0;5.0;1026.0;null;null;null
2023-01-01T00:05;LEBZ;METAR;false;false;true;2023-01-01T00:00;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:05;LEGT;METAR;false;false;true;2023-01-01T00:00;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:05;LEGA;METAR;false;false;true;2023-01-01T00:00;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:05;LERL;METAR;false;false;true;2023-01-01T00:00;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:05;LEBT;METAR;true;false;false;2023-01-01T00:00;0.0;0.0;null;-1.0;null;null;null;6.0;1.0;1026.0;null;null;null
2023-01-01T00:05;LEEC;METAR;false;false;true;2023-01-01T00:00;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:05;GECE;METAR;true;false;false;2023-01-01T00:00;190.0;3.0;null;-1.0;null;null;null;15.0;12.0;1026.0;null;null;null
2023-01-01T00:05;LESU;METAR;false;false;true;2023-01-01T00:00;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:05;LETU;METAR;true;false;false;2023-01-01T00:00;0.0;0.0;null;9999.0;null;null;null;6.0;5.0;1025.0;null;null;null
2023-01-01T00:05;LEMO;METAR;false;false;false;2023-01-01T00:00;360.0;4.0;null;-1.0;null;null;null;7.0;4.0;1025.0;null;NOSIG;null
2023-01-01T00:05;LEHC;METAR;true;false;false;2023-01-01T00:00;40.0;3.0;null;-1.0;null;null;null;8.0;-2.0;1026.0;null;null;null
2023-01-01T00:05;LERT;METAR;false;false;false;2023-01-01T00:00;120.0;5.0;null;-1.0;null;null;null;12.0;6.0;1025.0;null;NOSIG;null
2023-01-01T00:05;LESB;METAR;true;false;false;2023-01-01T00:00;10.0;3.0;null;-1.0;null;null;null;9.0;6.0;1028.0;null;null;null
2023-01-01T00:05;LECV;METAR;false;false;true;2023-01-01T00:00;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:05;LELO;METAR;true;false;false;2023-01-01T00:00;0.0;0.0;null;-1.0;null;null;null;9.0;3.0;1023.0;null;null;null
2023-01-01T00:05;LERI;METAR;false;false;true;2023-01-01T00:00;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:05;LEBR;METAR;true;false;false;2023-01-01T00:00;80.0;7.0;null;9999.0;null;null;null;9.0;5.0;1025.0;null;null;null
2023-01-01T00:34;LEMD;METAR;false;false;false;2023-01-01T00:30;350.0;3.0;null;-1.0;null;null;null;4.0;2.0;1026.0;null;NOSIG;null
2023-01-01T00:34;LERS;METAR;true;false;false;2023-01-01T00:30;20.0;7.0;null;-1.0;null;null;null;9.0;6.0;1026.0;null;null;null
2023-01-01T00:34;GCRR;METAR;false;false;false;2023-01-01T00:30;10.0;4.0;null;-1.0;null;null;null;19.0;13.0;1023.0;null;null;null
2023-01-01T00:34;LEPP;METAR;true;false;false;2023-01-01T00:30;150.0;7.0;null;-1.0;null;null;null;13.0;-1.0;1023.0;null;null;null
2023-01-01T00:34;LESO;METAR;true;false;false;2023-01-01T00:30;180.0;12.0;null;-1.0;null;null;null;18.0;3.0;1020.0;null;null;null
2023-01-01T00:34;LEAM;METAR;true;false;false;2023-01-01T00:30;360.0;8.0;null;-1.0;null;null;null;13.0;4.0;1026.0;null;null;null
2023-01-01T00:34;LEXJ;METAR;true;false;false;2023-01-01T00:30;360.0;3.0;null;-1.0;null;null;null;15.0;11.0;1019.0;null;null;null
2023-01-01T00:34;LEIB;METAR;true;false;false;2023-01-01T00:30;0.0;0.0;null;2800.0;null;null;FEW003;10.0;10.0;1027.0;null;null;null
2023-01-01T00:34;LEVT;METAR;false;false;false;2023-01-01T00:30;260.0;3.0;null;9999.0;null;null;BKN048;13.0;2.0;1021.0;null;null;null
2023-01-01T00:34;LEAL;METAR;false;false;false;2023-01-01T00:30;280.0;3.0;null;-1.0;null;null;null;7.0;5.0;1026.0;null;NOSIG;null
2023-01-01T00:34;GCTS;METAR;false;false;false;2023-01-01T00:30;360.0;6.0;null;-1.0;null;null;null;18.0;15.0;1023.0;null;NOSIG;null
2023-01-01T00:34;LECH;METAR;true;false;false;2023-01-01T00:30;0.0;0.0;null;-1.0;null;null;null;7.0;6.0;1026.0;null;null;null
2023-01-01T00:34;LEMG;METAR;false;false;false;2023-01-01T00:30;280.0;9.0;null;-1.0;null;null;null;9.0;5.0;1026.0;null;NOSIG;null
2023-01-01T00:34;GEML;METAR;true;false;false;2023-01-01T00:30;0.0;0.0;null;-1.0;null;null;null;11.0;5.0;1026.0;null;null;null
2023-01-01T00:34;LEGR;METAR;true;false;false;2023-01-01T00:30;180.0;3.0;null;-1.0;null;null;null;2.0;1.0;1028.0;null;null;null
2023-01-01T00:34;LEPA;METAR;false;false;false;2023-01-01T00:30;0.0;0.0;null;300.0;null;null;null;9.0;9.0;1028.0;null;NOSIG;null
2023-01-01T00:34;GCFV;METAR;true;false;false;2023-01-01T00:30;300.0;5.0;null;-1.0;null;null;null;18.0;14.0;1023.0;null;null;null
2023-01-01T00:34;LECO;METAR;true;false;false;2023-01-01T00:30;190.0;12.0;24;-1.0;null;null;null;12.0;10.0;1015.0;null;null;null
2023-01-01T00:34;LEBL;METAR;false;false;false;2023-01-01T00:30;320.0;5.0;null;-1.0;null;null;null;10.0;7.0;1026.0;null;NOSIG;null
2023-01-01T00:34;LETL;METAR;true;false;false;2023-01-01T00:30;170.0;5.0;null;-1.0;null;null;null;4.0;-5.0;1028.0;null;null;null
2023-01-01T00:34;GCHI;METAR;true;false;false;2023-01-01T00:30;210.0;7.0;null;-1.0;null;null;null;20.0;16.0;1022.0;null;null;null
2023-01-01T00:34;LEBG;METAR;true;false;false;2023-01-01T00:30;190.0;18.0;null;9999.0;null;null;FEW037 SCT050;12.0;-0.0;1022.0;null;null;null
2023-01-01T00:34;LEDA;METAR;true;false;false;2023-01-01T00:30;30.0;4.0;null;-1.0;null;null;null;6.0;4.0;1026.0;null;null;null
2023-01-01T00:34;LEVC;METAR;false;false;false;2023-01-01T00:30;300.0;5.0;null;-1.0;null;null;null;8.0;1.0;1026.0;null;NOSIG;null
2023-01-01T00:34;LEZG;METAR;false;false;false;2023-01-01T00:30;120.0;7.0;null;-1.0;null;null;null;7.0;6.0;1025.0;null;null;null
2023-01-01T00:34;LEZL;METAR;true;false;false;2023-01-01T00:30;30.0;4.0;null;-1.0;null;null;null;10.0;9.0;1025.0;null;null;null
2023-01-01T00:34;LEBB;METAR;true;false;false;2023-01-01T00:30;0.0;0.0;null;9999.0;null;null;FEW070;20.0;3.0;1019.0;null;null;null
2023-01-01T00:34;LEMI;METAR;true;false;false;2023-01-01T00:30;310.0;6.0;null;-1.0;null;null;null;9.0;5.0;1027.0;null;null;null
2023-01-01T00:34;GCGM;METAR;true;false;false;2023-01-01T00:30;80.0;3.0;null;9999.0;null;null;BKN009 BKN013 BKN018;19.0;17.0;1023.0;null;null;null
2023-01-01T00:34;LEVD;METAR;true;false;false;2023-01-01T00:30;190.0;8.0;null;9999.0;null;null;OVC034;9.0;1.0;1022.0;null;null;null
2023-01-01T00:34;GCLP;METAR;false;false;false;2023-01-01T00:30;0.0;0.0;null;-1.0;null;null;null;17.0;15.0;1022.0;null;NOSIG;null
2023-01-01T00:34;GCXO;METAR;true;false;false;2023-01-01T00:30;130.0;4.0;null;2100.0;null;null;null;14.0;14.0;1024.0;null;null;null
2023-01-01T00:34;LEGE;METAR;false;false;false;2023-01-01T00:30;250.0;3.0;null;-1.0;null;null;null;8.0;6.0;1025.0;null;null;null
2023-01-01T00:34;LEMH;METAR;true;false;false;2023-01-01T00:30;210.0;6.0;null;-1.0;null;null;null;14.0;13.0;1028.0;null;null;null
2023-01-01T00:34;LEAS;METAR;true;false;false;2023-01-01T00:30;310.0;4.0;null;9000.0;null;null;SCT060 BKN070 OVC086;13.0;11.0;1017.0;RA;null;null
2023-01-01T00:34;GCLA;METAR;true;false;false;2023-01-01T00:30;200.0;10.0;null;9999.0;null;null;BKN015 BKN022;20.0;18.0;1022.0;null;null;null
2023-01-01T00:34;LEST;METAR;false;false;false;2023-01-01T00:30;150.0;9.0;null;6000.0;null;null;SCT015 BKN025 BKN005;9.0;9.0;1017.0;RA RA;TEMPO;null
2023-01-01T00:34;LESA;METAR;true;false;false;2023-01-01T00:30;180.0;11.0;null;-1.0;null;null;null;11.0;4.0;1022.0;null;null;null
2023-01-01T00:34;LEAG;METAR;true;false;false;2023-01-01T00:30;340.0;3.0;null;-1.0;null;null;null;11.0;6.0;1026.0;null;null;null
2023-01-01T00:34;LEJR;METAR;true;false;false;2023-01-01T00:30;50.0;3.0;null;-1.0;null;null;null;10.0;5.0;1025.0;null;null;null
2023-01-01T00:34;LEVX;METAR;false;false;false;2023-01-01T00:30;180.0;5.0;null;8000.0;null;null;FEW038 BKN045;10.0;9.0;1018.0;RA;NOSIG;null
2023-01-01T00:34;LELN;METAR;true;false;false;2023-01-01T00:30;190.0;5.0;null;9999.0;null;null;OVC021;8.0;6.0;1020.0;RA;null;null
2023-01-01T00:34;LELC;METAR;true;false;false;2023-01-01T00:30;300.0;1.0;null;8000.0;null;null;null;8.0;7.0;1027.0;null;null;null
2023-01-01T00:35;LETU;METAR;true;false;false;2023-01-01T00:30;0.0;0.0;null;9999.0;null;null;null;6.0;5.0;1024.0;null;null;null
2023-01-01T00:35;LEEC;METAR;false;false;true;2023-01-01T00:30;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:35;GECE;METAR;true;false;false;2023-01-01T00:30;0.0;0.0;null;-1.0;null;null;null;14.0;12.0;1025.0;null;null;null
2023-01-01T00:35;LEBT;METAR;true;false;false;2023-01-01T00:30;260.0;4.0;null;-1.0;null;null;null;6.0;-0.0;1026.0;null;null;null
2023-01-01T00:35;LETO;METAR;false;false;true;2023-01-01T00:30;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:35;LELO;METAR;true;false;false;2023-01-01T00:30;0.0;0.0;null;-1.0;null;null;null;8.0;3.0;1023.0;null;null;null
2023-01-01T00:35;LEBA;METAR;true;false;false;2023-01-01T00:30;80.0;4.0;null;-1.0;null;null;null;7.0;5.0;1026.0;null;null;null
2023-01-01T00:35;LERT;METAR;false;false;false;2023-01-01T00:30;100.0;5.0;null;-1.0;null;null;null;11.0;6.0;1025.0;null;NOSIG;null
2023-01-01T00:35;LESB;METAR;true;false;false;2023-01-01T00:30;360.0;3.0;null;-1.0;null;null;null;9.0;6.0;1028.0;null;null;null
2023-01-01T00:35;LEMO;METAR;false;false;false;2023-01-01T00:30;0.0;0.0;null;-1.0;null;null;null;7.0;5.0;1025.0;null;NOSIG;null
2023-01-01T00:35;LERL;METAR;false;false;true;2023-01-01T00:30;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:35;LESU;METAR;false;false;true;2023-01-01T00:30;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:35;LERI;METAR;false;false;true;2023-01-01T00:30;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:35;LEGA;METAR;false;false;true;2023-01-01T00:30;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:35;LECV;METAR;false;false;true;2023-01-01T00:30;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:35;LEHC;METAR;true;false;false;2023-01-01T00:30;30.0;4.0;null;-1.0;null;null;null;9.0;-1.0;1026.0;null;null;null
2023-01-01T00:35;LEBZ;METAR;false;false;true;2023-01-01T00:30;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:35;LEAO;METAR;false;false;true;2023-01-01T00:30;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:35;LEVS;METAR;true;false;false;2023-01-01T00:30;0.0;0.0;null;9999.0;null;null;FEW050;7.0;3.0;1026.0;null;null;null
2023-01-01T00:35;LEBR;METAR;true;false;false;2023-01-01T00:30;90.0;12.0;null;9999.0;null;null;null;10.0;5.0;1025.0;null;null;null
2023-01-01T00:35;LEGT;METAR;false;false;true;2023-01-01T00:30;0.0;0.0;null;0.0;null;null;null;0.0;0.0;0.0;null;null;null
2023-01-01T00:35;LEAB;METAR;false;false;false;2023-01-01T00:30;170.0;5.0;null;-1.0;null;null;null;3.0;1.0;1028.0;null;NOSIG;null
2023-01-01T00:35;LELL;METAR;true;false;false;2023-01-01T00:30;280.0;3.0;null;-1.0;null;null;null;7.0;5.0;1026.0;null;null;null
2023-01-01T01:04;GCLP;METAR;false;false;false;2023-01-01T01:00;0.0;0.0;null;-1.0;null;null;null;17.0;15.0;1022.0;null;NOSIG;null
2023-01-01T01:04;LEJR;METAR;true;false;false;2023-01-01T01:00;80.0;2.0;null;-1.0;null;null;null;10.0;6.0;1025.0;null;null;null
2023-01-01T01:04;LEIB;METAR;true;false;false;2023-01-01T01:00;330.0;3.0;null;9999.0;null;null;FEW006;10.0;10.0;1026.0;null;null;null
2023-01-01T01:04;LEST;METAR;false;false;false;2023-01-01T01:00;150.0;8.0;null;6000.0;null;null;SCT015 SCT025 BKN005;9.0;9.0;1016.0;RA RA;TEMPO;null
2023-01-01T01:04;GCTS;METAR;false;false;false;2023-01-01T01:00;350.0;4.0;null;-1.0;null;null;null;17.0;14.0;1022.0;null;NOSIG;null
2023-01-01T01:04;LEVD;METAR;true;false;false;2023-01-01T01:00;190.0;10.0;null;9999.0;null;null;SCT035;9.0;1.0;1022.0;null;null;null
2023-01-01T01:04;LEMD;METAR;false;false;false;2023-01-01T01:00;340.0;4.0;null;-1.0;null;null;null;5.0;3.0;1026.0;null;NOSIG;null
2023-01-01T01:04;LEMH;METAR;true;false;false;2023-01-01T01:00;210.0;7.0;null;-1.0;null;null;null;14.0;13.0;1028.0;null;null;null
2023-01-01T01:04;LEAS;METAR;true;false;false;2023-01-01T01:00;350.0;3.0;null;9999.0;null;null;SCT050 BKN070 OVC086;13.0;11.0;1017.0;RA;null;null
2023-01-01T01:04;LEZG;METAR;false;false;false;2023-01-01T01:00;60.0;3.0;null;-1.0;null;null;null;7.0;6.0;1025.0;null;null;null
2023-01-01T01:04;LEAM;METAR;true;false;false;2023-01-01T01:00;350.0;5.0;null;-1.0;null;null;null;11.0;4.0;1026.0;null;null;null
2023-01-01T01:04;LEMG;METAR;false;false;false;2023-01-01T01:00;300.0;6.0;null;-1.0;null;null;null;8.0;5.0;1026.0;null;NOSIG;null
2023-01-01T01:04;LESA;METAR;true;false;false;2023-01-01T01:00;190.0;6.0;null;-1.0;null;null;null;11.0;4.0;1022.0;null;null;null
2023-01-01T01:04;LELN;METAR;true;false;false;2023-01-01T01:00;170.0;3.0;null;9999.0;null;null;BKN014 OVC019;7.0;7.0;1020.0;RA;null;null
2023-01-01T01:04;LEVT;METAR;false;false;false;2023-01-01T01:00;0.0;0.0;null;9999.0;null;null;BKN048;13.0;2.0;1021.0;null;null;null
2023-01-01T01:04;LERS;METAR;true;false;false;2023-01-01T01:00;30.0;6.0;null;-1.0;null;null;null;9.0;6.0;1025.0;null;null;null
2023-01-01T01:04;GCRR;METAR;false;false;false;2023-01-01T01:00;360.0;3.0;null;-1.0;null;null;null;18.0;13.0;1023.0;null;null;null
2023-01-01T01:04;LEPP;METAR;true;false;false;2023-01-01T01:00;150.0;7.0;null;9000.0;null;null;null;13.0;-1.0;1023.0;null;null;null
2023-01-01T01:04;LEAL;METAR;false;false;false;2023-01-01T01:00;340.0;2.0;null;-1.0;null;null;null;7.0;5.0;1026.0;null;NOSIG;null
2023-01-01T01:04;LESO;METAR;true;false;false;2023-01-01T01:00;180.0;10.0;null;-1.0;null;null;null;18.0;3.0;1020.0;null;null;null
2023-01-01T01:04;LEGE;METAR;false;false;false;2023-01-01T01:00;0.0;0.0;null;-1.0;null;null;null;8.0;6.0;1025.0;null;null;null
2023-01-01T01:04;LEGR;METAR;true;false;false;2023-01-01T01:00;0.0;0.0;null;-1.0;null;null;null;2.0;1.0;1027.0;null;null;null
2023-01-01T01:04;LECH;METAR;true;false;false;2023-01-01T01:00;190.0;3.0;null;-1.0;null;null;null;6.0;6.0;1026.0;null;null;null
2023-01-01T01:04;LEDA;METAR;true;false;false;2023-01-01T01:00;10.0;5.0;null;-1.0;null;null;null;6.0;4.0;1026.0;null;null;null
2023-01-01T01:04;LETL;METAR;true;false;false;2023-01-01T01:00;170.0;5.0;null;-1.0;null;null;null;3.0;-6.0;1028.0;null;null;null
2023-01-01T01:04;GCHI;METAR;true;false;false;2023-01-01T01:00;220.0;7.0;null;-1.0;null;null;null;19.0;16.0;1022.0;null;null;null
2023-01-01T01:04;LEBG;METAR;true;false;false;2023-01-01T01:00;180.0;15.0;null;9999.0;null;null;FEW040;11.0;0.0;1022.0;null;null;null
2023-01-01T01:04;LELC;METAR;true;false;false;2023-01-01T01:00;260.0;3.0;null;7000.0;null;null;null;8.0;7.0;1026.0;null;null;null
2023-01-01T01:04;LEVC;METAR;false;false;false;2023-01-01T01:00;280.0;3.0;null;-1.0;null;null;null;8.0;0.0;1026.0;null;NOSIG;null
2023-01-01T01:04;LEBL;METAR;false;false;false;2023-01-01T01:00;320.0;8.0;null;-1.0;null;null;null;10.0;7.0;1026.0;null;NOSIG;null
2023-01-01T01:04;LEZL;METAR;true;false;false;2023-01-01T01:00;40.0;4.0;null;-1.0;null;null;null;9.0;8.0;1025.0;null;null;null
2023-01-01T01:04;LEMI;METAR;true;false;false;2023-01-01T01:00;340.0;4.0;null;-1.0;null;null;null;9.0;6.0;1026.0;null;null;null
2023-01-01T01:04;LEAG;METAR;true;false;false;2023-01-01T01:00;360.0;4.0;null;-1.0;null;null;null;12.0;6.0;1026.0;null;null;null
2023-01-01T01:04;LEBB;METAR;true;false;false;2023-01-01T01:00;210.0;6.0;null;9999.0;null;null;FEW069;18.0;4.0;1019.0;null;null;null
2023-01-01T01:04;GCLA;METAR;true;false;false;2023-01-01T01:00;200.0;10.0;null;9999.0;null;null;FEW015 SCT022;20.0;18.0;1021.0;null;null;null
2023-01-01T01:04;GCFV;METAR;true;false;false;2023-01-01T01:00;0.0;0.0;null;-1.0;null;null;null;18.0;14.0;1023.0;null;null;null
2023-01-01T01:04;LEVX;METAR;false;false;false;2023-01-01T01:00;170.0;3.0;null;7000.0;null;null;FEW037 BKN051;10.0;9.0;1017.0;RA;NOSIG;null
2023-01-01T01:04;LEXJ;METAR;true;false;false;2023-01-01T01:00;0.0;0.0;null;-1.0;null;null;null;14.0;10.0;1018.0;null;null;null
2023-01-01T01:04;GCGM;METAR;true;false;false;2023-01-01T01:00;70.0;3.0;null;9999.0;null;null;BKN012 OVC017;18.0;16.0;1023.0;null;null;null
2023-01-01T01:04;LEPA;METAR;false;false;false;2023-01-01T01:00;0.0;0.0;null;600.0;null;null;null;9.0;9.0;1027.0;null;NOSIG;null
2023-01-01T01:04;GEML;METAR;true;false;false;2023-01-01T01:00;270.0;4.0;null;-1.0;null;null;null;11.0;4.0;1026.0;null;null;null
2023-01-01T01:04;LECO;METAR;true;false;false;2023-01-01T01:00;180.0;11.0;21;9999.0;null;null;null;12.0;10.0;1015.0;RA;null;null
2023-01-01T01:04;GCXO;METAR;true;false;false;2023-01-01T01:00;0.0;0.0;null;150.0;null;null;null;14.0;14.0;1024.0;null;null;null
